Listing_Date,Listing_Name,Listing_Price
04-23-2022,"NRSV, Catholic Bible, Gift Edition, Leathersoft, Teal, Comfort Print: Holy Bible",21
04-23-2022,"NRSV, Catholic Bible, Gift Edition, Leathersoft, White, Comfort Print: Holy Bible",21
04-23-2022,Understanding the Bible: A Catholic Guide to Applying God's Word to Your Life Today,15
04-23-2022,Catholic Notetaking Bible,33
04-23-2022,The Great Adventure Catholic Bible (Paperback),35
04-23-2022,"NRSV, Catholic Bible, Gift Edition, Leathersoft, Teal, Comfort Print: Holy Bible",21
04-23-2022,"The Catholic Youth Bible, 4th Edition, NABRE: New American Bible Revised Edition",28
04-23-2022,The Ignatius Bible: Revised Standard Version - Second Catholic Edition,28
04-23-2022,"NRSV, Catholic Bible, Standard Large Print, Leathersoft, Red, Comfort Print: Holy Bible",27
04-23-2022,"NRSVCE, Illustrated Catholic Bible, Genuine leather over board, Brown, Comfort Print: Holy Bible",129
04-23-2022,"NRSV, Catholic Bible, Standard Personal Size, Leathersoft, Black, Comfort Print: Holy Bible",22
04-23-2022,"NRSV, Catholic Bible, Journal Edition, Cloth over Board, Blue, Comfort Print: Holy Bible",36
04-23-2022,"NRSV, Catholic Bible, Gift Edition, Leathersoft, White, Comfort Print: Holy Bible",21
04-23-2022,Bible in a Year – ESV Catholic Edition – Tree of Life,26
04-23-2022,"The Catholic Children's Bible, Revised (paperback)",28
04-23-2022,"NABRE, New American Bible, Revised Edition, Catholic Bible, Large Print Edition, Leathersoft, Brown, Comfort Print: Holy Bible",39
04-23-2022,"NRSV, Catholic Bible, Gift Edition, Leathersoft, Brown, Comfort Print: Holy Bible",22
04-23-2022,"NRSV, Catholic Bible, Gift Edition, Leathersoft, Black, Comfort Print: Holy Bible",22
04-23-2022,"NRSVCE, Great Quotes Catholic Bible, Leathersoft, Burgundy, Comfort Print: Holy Bible",49
04-23-2022,The Catholic Study Bible,33
04-23-2022,"NRSVCE, Illustrated Catholic Bible, Leathersoft, Black, Comfort Print: Holy Bible",57
04-23-2022,The Great Adventure Catholic Bible,69
04-23-2022,The New American Bible (With the Revised Book of Psalms and the Revised New Testament),6
04-23-2022,"Tyndale NLT Inspire Catholic Bible (Hardcover, Rose Gold): Catholic Coloring Bible–Over 450 Illustrations to Color and Creative Journaling Bible Space, Religious Gifts That Inspire Connection with God",33
04-23-2022,New American Bible: Revised Edition,19
04-23-2022,Understanding the Bible: A Catholic Guide to Applying God's Word to Your Life Today,15
04-23-2022,New Catholic Bible Family Edition,56
04-23-2022,"The Catholic Youth Bible, 4th Edition, NRSV: New Revised Standard Version: Catholic Edition",30
04-23-2022,Catholic Bible - ESV Catholic Edition - Blue Hardcover with Gold Tree,26
04-23-2022,The Catholic Journaling Bible,40
04-23-2022,Divine Mercy Catholic Bible,31
04-23-2022,New Catholic Answer Bible: New American Bible Revised Edition (NABRE),54
04-23-2022,"NABRE, New American Bible, Revised Edition, Catholic Bible, Large Print Edition, Leathersoft, Brown, Thumb Indexed, Comfort Print: Holy Bible",46
04-23-2022,Douay-Rheims Bible (Burgundy Premium UltraSoft): Standard Print Size,31
04-23-2022,New Catholic Answer Bible: New American Bible Revised Edition (NABRE),7
04-23-2022,"NRSV, Catholic Edition Bible: Holy Bible",25
04-23-2022,"KJV Holy Bible, Giant Print Full-Size, Medium Brown Floral Faux Leather w/Ribbon Marker, Red Letter, Thumb Index, King James Version",22
04-23-2022,"NRSV, Catholic Bible, Gift Edition, Leathersoft, Brown, Comfort Print: Holy Bible",47
04-23-2022,"Holy Bible, Catholic Companion Edition",24
04-23-2022,Ignatius Catholic Study Bible: New Testament,12
04-23-2022,Catholic Bible for Journaling: New Testament with Psalms & Proverbs,43
04-23-2022,The Didache Bible: With Commentaries Based on the Catechism of the Catholic Church,22
04-23-2022,Catholic Women's Devotional Bible,5
04-23-2022,The Holy Bible (English Standard Version),15
04-23-2022,Catechism of the Catholic Church,44
04-23-2022,The Ave Catholic Notetaking Bible (RSV2CE),5
04-23-2022,Catholic New American Bible Revised Edition,49
04-23-2022,"The Catholic Bible, Personal Study Edition",35
04-23-2022,Catholica: The Visual Culture of Catholicism,22
04-23-2022,"NRSV, Catholic Bible, Gift Edition, Leathersoft, Black, Comfort Print: Holy Bible",9
04-23-2022,"New American Bible, St. Joseph Medium Size Edition",18
04-23-2022,Catholic Bible - ESV Catholic Edition - Gray Cross Paperback,19
04-23-2022,Catholic Bible - ESV Catholic Edition - Blue with Silver Tree Paperback,11
04-23-2022,1 & 2 Kings: Ignatius Catholic Study Bible,0
04-23-2022,"New American Bible: Revised New Testament, Catholic Edition",0
04-23-2022,The Catholic Audio Bible: King James Version,33
04-23-2022,Catholic Notetaking Bible,39
04-23-2022,St. Joseph New Catholic Bible (Gift Edition - Personal Size),26
04-23-2022,How to Read (and Write) Like a Catholic,17
